last seen position,churned_trial_users,churned_paid_users,active_paid_users
Unsupervised Learning::Second Principal Component of New System::700,,,
Unsupervised Learning::PCA for Facial Recognition::700,,,
Unsupervised Learning::Alternatives Quiz::700,,1,
Unsupervised Learning::Slightly Less Perfect Data::700,1,,
Unsupervised Learning::Alternatives Two::701,,,
Unsupervised Learning::Eigenfaces Code::701,,,
Unsupervised Learning::Trickiest Data Dimensionality::701,,,
Unsupervised Learning::Practice Finding Centers::701,,,
Unsupervised Learning::PCA Mini-Project Intro::702,,,1
Unsupervised Learning::Practice Finding New Axes::702,,,
Unsupervised Learning::Wrap Up::702,,,
Unsupervised Learning::PCA for Data Transformation::702,,,
Unsupervised Learning::Outro Part 1::703,1,,5
Unsupervised Learning::Center of a New Coordinate System::703,,,
Unsupervised Learning::Which Data is Ready for PCA::703,,,
Unsupervised Learning::PCA Mini-Project::703,2,1,2
Unsupervised Learning::Overview::704,4,1,3
Unsupervised Learning::Explained Variance of Each PC::704,1,,2
Unsupervised Learning::Principal Axis of New Coordinate System::704,,,
Unsupervised Learning::When Does an Axis Dominate::704,,,
Unsupervised Learning::Software Requirements::705,,1,5
Unsupervised Learning::How Many PCs to Use?::705,,1,
Unsupervised Learning::Second Principal Component of New System::705,,,
Unsupervised Learning::Measurable vs. Latent Features Quiz::705,,,1
Unsupervised Learning::Starting the Project::706,2,2,26
Unsupervised Learning::F1 Score vs. No. of PCs Used::706,,,
Unsupervised Learning::From Four Features to Two::706,,1,
Unsupervised Learning::Practice Finding Centers::706,,,
Unsupervised Learning::Submitting the Project::707,3,3,32
Unsupervised Learning::Practice Finding New Axes::707,,,
Unsupervised Learning::Dimensionality Reduction and Overfitting::707,,,
Unsupervised Learning::Compression While Preserving Information::707,,,1
GitHub Profile Review::Introduction::708,4,1,
Unsupervised Learning::Composite Features::708,,,1
Unsupervised Learning::Selecting Principal Components::708,,,1
Unsupervised Learning::Which Data is Ready for PCA::708,,,
GitHub Profile Review::GitHub profile important items::709,,,
Unsupervised Learning::Introduction::709,1,2,6
Unsupervised Learning::Maximal Variance::709,,,
Unsupervised Learning::When Does an Axis Dominate::709,,,
Unsupervised Learning::Advantages of Maximal Variance::710,,,
GitHub Profile Review::Good GitHub repository::710,3,,
Unsupervised Learning::Measurable vs. Latent Features Quiz::710,,,1
Unsupervised Learning::Feature Transformation::710,1,,
Unsupervised Learning::Maximal Variance and Information Loss::711,,,
GitHub Profile Review::Interview with Art - Part 1::711,1,,
Unsupervised Learning::From Four Features to Two::711,,1,
Unsupervised Learning::What Are Our Features::711,,,1
Unsupervised Learning::Words Like Tesla::712,1,,
GitHub Profile Review::Identify fixes for example “bad” profile::712,,,
Unsupervised Learning::Compression While Preserving Information::712,,,1
Unsupervised Learning::Info Loss and Principal Components::712,,,1
Unsupervised Learning::Composite Features::713,,,1
Unsupervised Learning::Neighborhood Composite Feature::713,,,1
GitHub Profile Review::Quick Fixes::713,,,
Unsupervised Learning::Independent Components Analysis::713,,,
Unsupervised Learning::PCA for Feature Transformation::714,,,1
Unsupervised Learning::Independent Components Analysis Two::714,1,,3
GitHub Profile Review::Quick Fixes::714,,,2
Unsupervised Learning::Maximal Variance::714,,,
Unsupervised Learning::Advantages of Maximal Variance::715,,,
Unsupervised Learning::Maximum Number of PCs Quiz::715,,,
Unsupervised Learning::Cocktail Party Problem::715,,,
GitHub Profile Review::Writing READMEs with Walter::715,1,,2
Unsupervised Learning::Review/Definition of PCA::716,,,1
Unsupervised Learning::Maximal Variance and Information Loss::716,,,
Unsupervised Learning::Matrix::716,,,
GitHub Profile Review::Interview with Art - Part 2::716,1,,1
Unsupervised Learning::Applying PCA to Real Data::717,,,1
Unsupervised Learning::PCA vs ICA::717,,1,3
GitHub Profile Review::Commit messages best practices::717,1,1,
Unsupervised Learning::Info Loss and Principal Components::717,,,1
Unsupervised Learning::PCA vs ICA Continued::718,,,
GitHub Profile Review::Reflect on your commit messages::718,,,
Unsupervised Learning::PCA on the Enron Finance Data::718,,,
Unsupervised Learning::Neighborhood Composite Feature::718,,,1
Unsupervised Learning::PCA in sklearn::719,,1,2
GitHub Profile Review::Participating in open source projects::719,1,,
Unsupervised Learning::PCA for Feature Transformation::719,,,1
Unsupervised Learning::Alternatives::719,,,1
GitHub Profile Review::Interview with Art - Part 3::720,,,
Unsupervised Learning::When to Use PCA::720,,,1
Unsupervised Learning::Alternatives Quiz::720,,1,
Unsupervised Learning::Maximum Number of PCs Quiz::720,,,
Unsupervised Learning::Alternatives Two::721,,,
GitHub Profile Review::Participating in open source projects 2::721,,,
Unsupervised Learning::PCA for Facial Recognition::721,,,
Unsupervised Learning::Review/Definition of PCA::721,,,1
Unsupervised Learning::Eigenfaces Code::722,,,
Unsupervised Learning::Wrap Up::722,,,
Unsupervised Learning::Applying PCA to Real Data::722,,,1
GitHub Profile Review::Starring interesting repositories::722,,,
Unsupervised Learning::Outro Part 1::723,1,,5
Unsupervised Learning::PCA Mini-Project Intro::723,,,1
GitHub Profile Review::Outro::723,1,,1
Unsupervised Learning::PCA on the Enron Finance Data::723,,,
Unsupervised Learning::PCA Mini-Project::724,2,1,2
Unsupervised Learning::Overview::724,4,1,3
GitHub Profile Review::GitHub Profile Review Overview::724,,1,
Unsupervised Learning::PCA in sklearn::724,,1,2
GitHub Profile Review::GitHub Profile Review Details::725,4,1,2
Unsupervised Learning::Software Requirements::725,,1,5
Unsupervised Learning::When to Use PCA::725,,,1
Unsupervised Learning::Explained Variance of Each PC::725,1,,2
Unsupervised Learning::How Many PCs to Use?::726,,1,
Reinforcement Learning::Reinforcement Learning::726,8,1,5
Unsupervised Learning::PCA for Facial Recognition::726,,,
Unsupervised Learning::Starting the Project::726,2,2,26
Unsupervised Learning::Submitting the Project::727,3,3,32
Unsupervised Learning::Eigenfaces Code::727,,,
Unsupervised Learning::F1 Score vs. No. of PCs Used::727,,,
Reinforcement Learning::What You'll Watch and Learn::727,,,
Unsupervised Learning::PCA Mini-Project Intro::728,,,1
GitHub Profile Review::Introduction::728,4,1,
Reinforcement Learning::Reinforcement Learning What You'll Do::728,1,,4
Unsupervised Learning::Dimensionality Reduction and Overfitting::728,,,
Unsupervised Learning::PCA Mini-Project::729,2,1,2
GitHub Profile Review::GitHub profile important items::729,,,
Reinforcement Learning::Introduction::729,9,1,2
Unsupervised Learning::Selecting Principal Components::729,,,1
GitHub Profile Review::Good GitHub repository::730,3,,
Unsupervised Learning::Introduction::730,1,2,6
Unsupervised Learning::Explained Variance of Each PC::730,1,,2
Reinforcement Learning::Decision Making & Reinforcement Learning::730,1,1,3
Reinforcement Learning::The World - 1::731,2,,
Unsupervised Learning::Feature Transformation::731,1,,
Unsupervised Learning::How Many PCs to Use?::731,,1,
GitHub Profile Review::Interview with Art - Part 1::731,1,,
Unsupervised Learning::F1 Score vs. No. of PCs Used::732,,,
Reinforcement Learning::The World - 2::732,2,5,1
GitHub Profile Review::Identify fixes for example “bad” profile::732,,,
Unsupervised Learning::What Are Our Features::732,,,1
Reinforcement Learning::Markov Decision Processes - 1::733,2,1,2
Unsupervised Learning::Dimensionality Reduction and Overfitting::733,,,
GitHub Profile Review::Quick Fixes::733,,,
Unsupervised Learning::Words Like Tesla::733,1,,
Reinforcement Learning::Markov Decision Processes - 2::734,,2,1
Unsupervised Learning::Selecting Principal Components::734,,,1
GitHub Profile Review::Quick Fixes::734,,,2
Unsupervised Learning::Independent Components Analysis::734,,,
Reinforcement Learning::Markov Decision Processes - 3::735,,,3
Unsupervised Learning::Independent Components Analysis Two::735,1,,3
Unsupervised Learning::Introduction::735,1,2,6
GitHub Profile Review::Writing READMEs with Walter::735,1,,2
Unsupervised Learning::Cocktail Party Problem::736,,,
Reinforcement Learning::Markov Decision Processes - 4::736,3,,
Unsupervised Learning::Feature Transformation::736,1,,
GitHub Profile Review::Interview with Art - Part 2::736,1,,1
GitHub Profile Review::Commit messages best practices::737,1,1,
Unsupervised Learning::Matrix::737,,,
Reinforcement Learning::More About Rewards - 1::737,,1,3
Unsupervised Learning::What Are Our Features::737,,,1
Reinforcement Learning::More About Rewards - 2::738,,,
GitHub Profile Review::Reflect on your commit messages::738,,,
Unsupervised Learning::Words Like Tesla::738,1,,
Unsupervised Learning::PCA vs ICA::738,,1,3
Unsupervised Learning::PCA vs ICA Continued::739,,,
Reinforcement Learning::More About Rewards - 3::739,2,1,1
GitHub Profile Review::Participating in open source projects::739,1,,
Unsupervised Learning::Independent Components Analysis::739,,,
Unsupervised Learning::Independent Components Analysis Two::740,1,,3
Reinforcement Learning::Sequences of Rewards - 1::740,1,1,7
GitHub Profile Review::Interview with Art - Part 3::740,,,
Unsupervised Learning::Alternatives::740,,,1
Reinforcement Learning::Sequences of Rewards - 2::741,1,,1
Unsupervised Learning::Cocktail Party Problem::741,,,
Unsupervised Learning::Alternatives Quiz::741,,1,
GitHub Profile Review::Participating in open source projects 2::741,,,
Unsupervised Learning::Alternatives Two::742,,,
Unsupervised Learning::Matrix::742,,,
Reinforcement Learning::Sequences of Rewards - 3::742,,,1
GitHub Profile Review::Starring interesting repositories::742,,,
GitHub Profile Review::Outro::743,1,,1
Unsupervised Learning::PCA vs ICA::743,,1,3
Reinforcement Learning::Sequences of Rewards - 4::743,,1,
Unsupervised Learning::Wrap Up::743,,,
Unsupervised Learning::Outro Part 1::744,1,,5
Unsupervised Learning::PCA vs ICA Continued::744,,,
Reinforcement Learning::Assumptions::744,1,,3
GitHub Profile Review::GitHub Profile Review Overview::744,,1,
Unsupervised Learning::Overview::745,4,1,3
GitHub Profile Review::GitHub Profile Review Details::745,4,1,2
Reinforcement Learning::Policies - 1::745,,1,4
Unsupervised Learning::Alternatives::745,,,1
Unsupervised Learning::Software Requirements::746,,1,5
Reinforcement Learning::Policies - 2::746,2,,1
Unsupervised Learning::Alternatives Quiz::746,,1,
Reinforcement Learning::Reinforcement Learning::746,8,1,5
Unsupervised Learning::Starting the Project::747,2,2,26
Reinforcement Learning::What You'll Watch and Learn::747,,,
Reinforcement Learning::Finding Policies - 1::747,,,1
Unsupervised Learning::Alternatives Two::747,,,
Reinforcement Learning::Reinforcement Learning What You'll Do::748,1,,4
Unsupervised Learning::Submitting the Project::748,3,3,32
Unsupervised Learning::Wrap Up::748,,,
Reinforcement Learning::Finding Policies - 2::748,,1,1
Reinforcement Learning::Introduction::749,9,1,2
Reinforcement Learning::Finding Policies - 3::749,1,,3
GitHub Profile Review::Introduction::749,4,1,
Unsupervised Learning::Outro Part 1::749,1,,5
Reinforcement Learning::Decision Making & Reinforcement Learning::750,1,1,3
Unsupervised Learning::Overview::750,4,1,3
GitHub Profile Review::GitHub profile important items::750,,,
Reinforcement Learning::Finding Policies - 4::750,1,2,
Unsupervised Learning::Software Requirements::751,,1,5
Reinforcement Learning::The World - 1::751,2,,
Reinforcement Learning::Wrapping up::751,2,2,2
GitHub Profile Review::Good GitHub repository::751,3,,
Reinforcement Learning::The World - 2::752,2,5,1
Reinforcement Learning::Reinforcement Learning::752,6,3,6
GitHub Profile Review::Interview with Art - Part 1::752,1,,
Unsupervised Learning::Starting the Project::752,2,2,26
Unsupervised Learning::Submitting the Project::753,3,3,32
Reinforcement Learning::Rat Dinosaurs::753,1,1,1
Reinforcement Learning::Markov Decision Processes - 1::753,2,1,2
GitHub Profile Review::Identify fixes for example “bad” profile::753,,,
Reinforcement Learning::API::754,1,,3
Reinforcement Learning::Markov Decision Processes - 2::754,,2,1
GitHub Profile Review::Introduction::754,4,1,
GitHub Profile Review::Quick Fixes::754,,,
GitHub Profile Review::GitHub profile important items::755,,,
GitHub Profile Review::Quick Fixes::755,,,2
Reinforcement Learning::API Quiz::755,,2,2
Reinforcement Learning::Markov Decision Processes - 3::755,,,3
Reinforcement Learning::Three Approaches to RL::756,1,1,3
GitHub Profile Review::Good GitHub repository::756,3,,
Reinforcement Learning::Markov Decision Processes - 4::756,3,,
GitHub Profile Review::Writing READMEs with Walter::756,1,,2
GitHub Profile Review::Interview with Art - Part 1::757,1,,
GitHub Profile Review::Interview with Art - Part 2::757,1,,1
Reinforcement Learning::A New Kind of Value Function::757,,1,2
Reinforcement Learning::More About Rewards - 1::757,,1,3
Reinforcement Learning::More About Rewards - 2::758,,,
GitHub Profile Review::Identify fixes for example “bad” profile::758,,,
Reinforcement Learning::Value Function Quiz::758,,1,1
GitHub Profile Review::Commit messages best practices::758,1,1,
GitHub Profile Review::Quick Fixes::759,,,
Reinforcement Learning::Q Learning::759,1,,
Reinforcement Learning::More About Rewards - 3::759,2,1,1
GitHub Profile Review::Reflect on your commit messages::759,,,
Reinforcement Learning::Estimating Q From Transitions::760,1,3,10
GitHub Profile Review::Quick Fixes::760,,,2
Reinforcement Learning::Sequences of Rewards - 1::760,1,1,7
GitHub Profile Review::Participating in open source projects::760,1,,
Reinforcement Learning::Learning Incrementally::761,,,3
GitHub Profile Review::Interview with Art - Part 3::761,,,
Reinforcement Learning::Sequences of Rewards - 2::761,1,,1
GitHub Profile Review::Writing READMEs with Walter::761,1,,2
GitHub Profile Review::Participating in open source projects 2::762,,,
Reinforcement Learning::Sequences of Rewards - 3::762,,,1
GitHub Profile Review::Interview with Art - Part 2::762,1,,1
Reinforcement Learning::Estimating Q From Transitions Two::762,1,,1
GitHub Profile Review::Starring interesting repositories::763,,,
Reinforcement Learning::Sequences of Rewards - 4::763,,1,
Reinforcement Learning::Q Learning Convergence::763,,,3
GitHub Profile Review::Commit messages best practices::763,1,1,
Reinforcement Learning::Choosing Actions::764,,,2
GitHub Profile Review::Reflect on your commit messages::764,,,
GitHub Profile Review::Outro::764,1,,1
Reinforcement Learning::Assumptions::764,1,,3
Reinforcement Learning::Policies - 1::765,,1,4
